player,scoring_avg,driving_accuracy,gir_pct,birdie_avg
Frankie Capan III,71.2,45.8,60.1,3.493
Adam Hadwin,70.5,62.1,66.2,3.862
Carson Young,70.1,67.2,69.5,4.000
Lanto Griffin,70.4,61.5,66.9,3.831
Hayden Springer,70.0,58.0,65.9,4.236
Henrik Norlander,70.1,64.3,69.0,3.635
Alejandro Tosti,70.2,56.1,64.5,3.750
Chan Kim,70.1,60.9,67.7,3.852
Will Zalatoris,0.0,0.0,0.0,0.000
Sahith Theegala,70.9,57.0,65.6,3.907
Zach Johnson,70.2,69.2,69.3,3.633
Harry Higgs,70.8,59.2,65.2,3.829
Paul Peterson,70.0,73.1,67.4,3.969
Taylor Montgomery,69.7,51.4,63.6,4.303
Jeremy Paul,69.8,57.6,69.1,3.865
Will Gordon,70.6,58.1,69.4,3.452
Noah Goodwin,70.1,66.8,68.0,3.887
David Skinns,70.3,58.6,68.6,3.773
Greyson Sigg,69.9,65.4,70.3,3.610
Ben Silverman,70.1,64.2,67.4,3.808
Cameron Champ,0.0,0.0,0.0,0.000
Camilo Villegas,70.7,53.2,64.2,4.000
